Imminent Request;dod;edod;dynamic;Funktionswert;Fahrzeuge
10;0.9652777777777778;0.5881987311385464;0.2017026004503688;7017.0;18
10;0.9652777777777778;0.5817418981481483;0.23208816335372628;6824.0;18
10;0.9652777777777778;0.589366855281207;0.24819844220435106;6569.0;17
10;0.9652777777777778;0.5788162294238677;0.24261411221633133;6417.0;17
10;0.9652777777777778;0.5910761745541837;0.2568804401426932;6741.0;18
10;0.9652777777777778;0.6617155349794237;0.20184473703434969;6562.0;17
10;0.9652777777777778;0.6517489711934156;0.21684323679633044;6605.0;17
10;0.9652777777777778;0.6609117798353912;0.20082134472787316;7036.0;17
10;0.9652777777777778;0.6542084619341564;0.1831153210065508;6649.0;16
10;0.9652777777777778;0.6469853823731138;0.20825689107800804;6743.0;16
10;0.9652777777777778;0.7218846450617286;0.19995009354167448;7124.0;16
10;0.9652777777777778;0.7145972650891627;0.17861519397566306;7267.0;17
10;0.9652777777777778;0.7139221107681757;0.19385700558625651;6864.0;16
10;0.9652777777777778;0.7184552897805213;0.1620259943433997;6898.0;16
10;0.9652777777777778;0.7144365140603564;0.18978899203106436;6911.0;17
60;0.7916666666666666;0.4938914609053497;0.1966484435596636;6218.0;17
60;0.7916666666666666;0.5007448131001373;0.21521380638809862;6048.0;17
60;0.7916666666666666;0.5098540380658437;0.26187030338591777;6272.0;17
60;0.7916666666666666;0.48088134430727014;0.22209647237653418;6466.0;16
60;0.7916666666666666;0.4774573473936903;0.20601660964488433;6192.0;17
60;0.7916666666666666;0.5360243055555555;0.1749364923696206;6439.0;17
60;0.7916666666666666;0.545712234224966;0.18972519774330487;6540.0;16
60;0.7916666666666666;0.5284207818930038;0.1729587220218336;6115.0;16
60;0.7916666666666666;0.5426097393689987;0.17391388991165657;6633.0;17
60;0.7916666666666666;0.5383176868998628;0.1657657798694221;6707.0;17
60;0.7916666666666666;0.5890024862825787;0.16742544948939964;6612.0;16
60;0.7916666666666666;0.5904117369684498;0.1525027773514207;6675.0;17
60;0.7916666666666666;0.5831457904663923;0.12494128806330451;6607.0;17
60;0.7916666666666666;0.5770479681069962;0.16432650289978534;6935.0;17
60;0.7916666666666666;0.5848283179012344;0.13322168895979825;6958.0;17
110;0.6180555555555556;0.3848754715363512;0.2377725944141671;6253.0;16
110;0.6180555555555556;0.3488833161865569;0.20973212266131325;6057.0;16
110;0.6180555555555556;0.3875439386145404;0.22437902212355942;6270.0;16
110;0.6180555555555556;0.37422839506172845;0.2334530994502948;5968.0;17
110;0.6180555555555556;0.38922110768175594;0.2582758947083693;5904.0;17
110;0.6180555555555556;0.4187242798353909;0.16913919047129622;6061.0;17
110;0.6180555555555556;0.4115655006858708;0.21431834570444153;6014.0;16
110;0.6180555555555556;0.41927619170096025;0.1628044413171862;6109.0;17
110;0.6180555555555556;0.4232145919067215;0.17619184315901493;6523.0;16
110;0.6180555555555556;0.41333376200274335;0.1943453574272519;6268.0;17
110;0.6180555555555556;0.4623949759945133;0.1412020156201388;6435.0;16
110;0.6180555555555556;0.44722543724279823;0.15378521597621997;6142.0;17
110;0.6180555555555556;0.4624967849794237;0.16097659395422603;6560.0;17
110;0.6180555555555556;0.45910493827160476;0.15971449208203603;6433.0;17
110;0.6180555555555556;0.4625128600823042;0.17406011726466775;6025.0;16
160;0.4444444444444444;0.27254265260631005;0.18872305540043355;6063.0;18
160;0.4444444444444444;0.26927404835390956;0.2386758665923785;6315.0;17
160;0.4444444444444444;0.26861496913580263;0.26896097400101104;6105.0;18
160;0.4444444444444444;0.2719425154320987;0.24666413638045837;6230.0;17
160;0.4444444444444444;0.2596772119341564;0.25858136981922974;5843.0;18
160;0.4444444444444444;0.3122427983539095;0.24681656177878586;6082.0;18
160;0.4444444444444444;0.29424939986282594;0.2237393753169724;5894.0;17
160;0.4444444444444444;0.2970357510288067;0.2395558574843183;5986.0;17
160;0.4444444444444444;0.3017671896433471;0.2038113082731262;5607.0;16
160;0.4444444444444444;0.30199224108367634;0.2418598152319782;5905.0;16
160;0.4444444444444444;0.32865547839506176;0.16169777235018057;6181.0;17
160;0.4444444444444444;0.32964141803840885;0.2124086219045379;5975.0;16
160;0.4444444444444444;0.32803390775034297;0.16827391232059707;5959.0;18
160;0.4444444444444444;0.33024155521261994;0.19878084919526784;6066.0;16
160;0.4444444444444444;0.321073388203018;0.21815785495151208;5902.0;17
210;0.2708333333333333;0.17135523834019203;0.23150420924007287;5327.0;18
210;0.2708333333333333;0.1595668295610425;0.20756508978648158;6044.0;22
210;0.2708333333333333;0.1684349279835391;0.22823199711936915;5972.0;19
210;0.2708333333333333;0.16779192386831276;0.2652173518937587;5938.0;20
210;0.2708333333333333;0.17573838305898493;0.2763984517771302;5718.0;19
210;0.2708333333333333;0.1782675325788753;0.19838000858172644;5523.0;20
210;0.2708333333333333;0.1817772633744856;0.305007252201982;5406.0;18
210;0.2708333333333333;0.18856631515775035;0.22052948057370514;5631.0;21
210;0.2708333333333333;0.1852602023319616;0.23622630671513734;5718.0;20
210;0.2708333333333333;0.18490655006858708;0.20325545304553683;5394.0;18
210;0.2708333333333333;0.19698431069958844;0.16728506533326715;5422.0;20
210;0.2708333333333333;0.20219264403292184;0.147883345670886;5733.0;20
210;0.2708333333333333;0.20115312071330593;0.1888065967322935;5647.0;19
210;0.2708333333333333;0.1954625342935528;0.10698852188510388;5502.0;19
210;0.2708333333333333;0.1975040723593965;0.21975228916529;5291.0;19
260;0.09722222222222222;0.05877593449931411;0.2361585652803413;5291.0;27
260;0.09722222222222222;0.055416237997256514;0.1938452827046946;5024.0;21
260;0.09722222222222222;0.06388245884773663;0.2501408757537994;4975.0;23
260;0.09722222222222222;0.06084962277091907;0.2682798879717161;4998.0;22
260;0.09722222222222222;0.06340556412894377;0.2792501476403273;4968.0;21
260;0.09722222222222222;0.06503450788751715;0.17976924118642945;4594.0;22
260;0.09722222222222222;0.06353416495198899;0.137507348031208;4571.0;21
260;0.09722222222222222;0.06391996742112482;0.16922154616620821;4800.0;24
260;0.09722222222222222;0.06649734224965705;0.2128251579216036;4370.0;23
260;0.09722222222222222;0.06303047839506173;0.2169340607626834;4699.0;24
260;0.09722222222222222;0.07298096707818932;0.13747841139906436;4315.0;22
260;0.09722222222222222;0.07066079389574759;0.13250740043964393;4457.0;25
260;0.09722222222222222;0.0696105538408779;0.0856119033819579;4278.0;24
260;0.09722222222222222;0.07083226165980795;0.14017261607370368;4560.0;23
260;0.09722222222222222;0.07252014746227711;0.19946883510454883;4611.0;25
