UrgencyMean;UrgencyMedian;UrgencyStd
249.10763888888889;235.0;135.75902444929818
249.64583333333334;250.5;124.52646242365527
263.66319444444446;259.5;131.2025883925567
259.12847222222223;260.5;128.24580682077033
255.1875;238.5;123.40752097274658
217.25347222222223;217.5;111.57689949910139
220.54513888888889;218.5;108.05071168582849
230.71180555555554;223.5;113.60826150791625
211.02083333333334;204.0;112.04227678958709
217.38541666666666;209.0;105.23796148408802
174.11805555555554;166.5;93.95096952132496
181.06597222222223;170.0;89.4695740206897
178.23263888888889;167.5;96.18788423492748
181.94791666666666;174.0;96.86295119964171
177.52083333333334;169.0;94.97228899570307
290.9826388888889;299.5;142.88292742168957
287.27430555555554;282.5;142.98959910044735
281.24305555555554;285.5;150.31962458411087
301.19444444444446;305.0;139.57252583920592
288.53472222222223;292.5;140.46924896744616
257.2708333333333;251.5;132.85935121345847
256.1076388888889;239.5;138.02550669062197
262.68402777777777;250.5;138.14890123180416
255.68055555555554;246.0;130.5267720930258
258.37152777777777;249.0;137.7890805438164
228.38541666666666;191.0;139.66751464974772
229.24305555555554;198.0;137.53707815873278
224.89583333333334;193.0;136.55563166048634
233.11111111111111;202.5;137.55115771106512
225.78472222222223;193.0;138.7047305126595
328.5625;330.5;149.3289489102461
324.28125;328.0;150.225573660981
330.52777777777777;358.5;143.38010111260812
327.1736111111111;344.5;140.2054707415112
325.28819444444446;340.5;150.79934101155004
307.77777777777777;297.5;149.5791756360176
300.875;300.0;147.30344130211094
301.8888888888889;293.0;151.20773565194222
302.50347222222223;301.0;139.11770591500846
301.62847222222223;285.5;145.5017808039143
274.7986111111111;226.5;159.45029615060434
279.96527777777777;238.0;161.41905062748444
275.3541666666667;256.5;148.5931932020178
266.7048611111111;220.5;162.91762481809505
276.69444444444446;251.0;153.4219751832696
365.9861111111111;387.0;138.0526009911877
357.6423611111111;385.0;143.54292044922244
350.3263888888889;379.5;152.1067484194493
351.69444444444446;383.5;144.25749921666784
358.74305555555554;385.0;139.87334283239258
334.78819444444446;360.0;156.81010809102122
338.84722222222223;357.0;155.84399782779766
338.375;370.0;154.3401445131283
338.4375;361.0;150.5463069563463
336.7048611111111;365.0;153.13175056768978
319.4166666666667;347.5;165.80602790275404
324.75694444444446;349.0;158.25112982428783
325.12847222222223;348.5;157.89164540700864
323.30902777777777;335.0;160.61234274090344
327.6875;351.5;165.38032635035523
397.46527777777777;411.0;128.3101393106673
392.7048611111111;414.0;133.53840886814646
395.09027777777777;411.5;127.77374823809362
392.2986111111111;404.0;124.17972973013251
388.9201388888889;411.0;140.5590668049977
383.44097222222223;406.5;137.59714997916245
382.77430555555554;406.5;136.65096873590838
382.97569444444446;405.5;133.53179019459498
378.75694444444446;403.0;140.74451077354962
389.0208333333333;406.5;136.0172562964592
370.18402777777777;406.0;150.864790073022
374.78819444444446;405.5;141.1350328568983
373.27777777777777;411.5;151.59624942427226
372.83680555555554;404.0;142.50523053096833
374.1736111111111;402.0;143.82444110505728
428.375;433.5;101.47481043479597
430.78819444444446;435.0;102.90553380847233
424.5625;432.0;107.64445841325661
429.22222222222223;438.5;106.41587995300723
431.94097222222223;440.5;103.44056929866817
425.4791666666667;430.5;108.258401569655
421.59722222222223;429.0;110.60322726382283
422.7986111111111;431.5;112.13001381463839
422.3298611111111;435.0;110.1736265954921
426.4548611111111;435.0;110.56049458319511
419.3333333333333;430.5;114.19178555784517
421.18402777777777;430.0;113.03685556981114
421.09027777777777;436.0;120.35938159865951
420.90625;430.0;113.08026998967371
419.75347222222223;435.0;115.52960023132746
